name,region,size,task_clock,CPUs_utilized,context_switches,cpu_migrations,page_faults,cycles,stalled_cycles_frontend,instructions,branches,branch_misses,time_elapsed,IO,num_threads
mandelbrot_omp,seahorse,64,25.44,8.055,4,0,145,589.463,062.011,330.519,470.676,108.614,0.003158,True,16
mandelbrot_omp,seahorse,128,56.94,9.243,7,0,265,536.716,055.591,594.806,323.704,156.384,0.006160,True,16
mandelbrot_omp,seahorse,256,140.94,9.149,24,0,746,363.494,682.637,625.395,347.796,323.597,0.01541,True,16
mandelbrot_omp,seahorse,512,446.34,10.607,74,1,666,102.590,331.427,521.777,493.774,977.794,0.04208,True,16
mandelbrot_omp,seahorse,1024,380.28,8.960,111,3,346,406.697,905.884,695.112,792.636,427.880,0.15405,True,16
mandelbrot_omp,seahorse,2048,036.40,8.453,190,6,067,178.298,407.769,106.372,551.325,117.720,0.59584,True,16
mandelbrot_omp,seahorse,4096,676.21,7.859,993,29,946,067.036,034.041,956.505,100.462,206.791,2.5036,True,16
mandelbrot_omp,seahorse,8192,818.56,8.064,892,89,466,607.147,634.718,139.163,591.623,231.612,10.519,True,16
mandelbrot_omp,elephant,16,18.03,6.679,4,0,108,188.484,720.788,624.949,813.734,94.486,0.002700,True,16
mandelbrot_omp,elephant,32,68.84,9.523,18,2,115,397.235,958.423,272.550,504.943,120.086,0.00723,True,16
mandelbrot_omp,elephant,64,21.19,7.183,6,0,145,328.868,085.358,637.052,845.514,109.714,0.002950,True,16
mandelbrot_omp,elephant,128,55.71,10.361,8,0,265,179.457,985.485,616.767,519.450,153.012,0.005377,True,16
mandelbrot_omp,elephant,256,151.03,8.551,29,1,746,410.928,730.218,865.831,340.629,323.692,0.01766,True,16
mandelbrot_omp,elephant,512,438.29,10.411,75,2,666,037.053,443.995,066.042,881.598,960.720,0.04210,True,16
mandelbrot_omp,elephant,1024,317.43,8.693,103,4,346,961.885,006.865,547.843,309.862,350.597,0.15155,True,16
mandelbrot_omp,elephant,2048,792.38,8.158,199,6,066,424.883,453.530,372.913,261.438,777.852,0.58744,True,16
mandelbrot_omp,elephant,4096,486.89,7.613,105,15,946,732.787,157.973,407.580,338.630,164.753,2.4282,True,16
mandelbrot_omp,elephant,8192,271.32,7.947,256,40,466,499.529,016.562,683.547,504.315,566.899,9.975,True,16
mandelbrot_omp,triple_spiral,16,14.04,5.871,3,0,108,655.283,688.978,395.615,151.366,93.128,0.002392,True,16
mandelbrot_omp,triple_spiral,32,32.48,8.818,8,0,115,640.368,177.445,065.552,079.679,103.433,0.003684,True,16
mandelbrot_omp,triple_spiral,64,27.23,8.447,5,0,145,385.819,079.882,491.087,667.378,110.656,0.003224,True,16
mandelbrot_omp,triple_spiral,128,64.19,10.538,9,0,265,160.152,195.132,613.451,395.377,158.549,0.006091,True,16
mandelbrot_omp,triple_spiral,256,161.17,8.493,24,2,746,820.808,053.961,711.083,118.300,334.678,0.01898,True,16
mandelbrot_omp,triple_spiral,512,475.07,11.001,75,2,666,113.275,653.323,085.570,150.883,004.902,0.04319,True,16
mandelbrot_omp,triple_spiral,1024,544.88,9.517,100,4,346,488.119,094.080,302.373,291.981,558.693,0.16233,True,16
mandelbrot_omp,triple_spiral,2048,678.31,9.110,196,6,066,935.834,807.142,295.446,509.594,622.292,0.62332,True,16
mandelbrot_omp,triple_spiral,4096,106.72,8.497,481,13,947,457.295,363.750,256.891,775.248,776.444,2.6018,True,16
mandelbrot_omp,triple_spiral,8192,462.32,8.763,341,70,466,976.112,812.437,369.521,113.817,538.258,11.008,True,16
mandelbrot_seq,full,16,0.95,0.595,0,0,64,533.718,972.566,607.331,311.663,34.587,0.001606,True,16
