executable,n,elapsed_time,version,n_procs,process_0_elapsed_time,process_1_elapsed_time,max_proc_id,process_2_elapsed_time,process_3_elapsed_time,process_4_elapsed_time,process_5_elapsed_time,process_6_elapsed_time,process_7_elapsed_time,process_8_elapsed_time,process_9_elapsed_time,process_10_elapsed_time,process_11_elapsed_time,process_12_elapsed_time,process_13_elapsed_time,process_14_elapsed_time,process_15_elapsed_time,process_16_elapsed_time,process_17_elapsed_time,process_18_elapsed_time,process_19_elapsed_time,process_20_elapsed_time,process_21_elapsed_time,process_22_elapsed_time,process_23_elapsed_time,process_24_elapsed_time,process_25_elapsed_time,process_26_elapsed_time,process_27_elapsed_time,process_28_elapsed_time,process_29_elapsed_time,process_30_elapsed_time,process_31_elapsed_time,process_32_elapsed_time,process_33_elapsed_time,process_34_elapsed_time,process_35_elapsed_time,process_36_elapsed_time,process_37_elapsed_time,process_38_elapsed_time,process_39_elapsed_time,process_40_elapsed_time,process_41_elapsed_time,process_42_elapsed_time,process_43_elapsed_time,process_44_elapsed_time,process_45_elapsed_time,process_46_elapsed_time,process_47_elapsed_time,process_48_elapsed_time,process_49_elapsed_time,process_50_elapsed_time,process_51_elapsed_time,process_52_elapsed_time,process_53_elapsed_time,process_54_elapsed_time,process_55_elapsed_time,process_56_elapsed_time,process_57_elapsed_time,process_58_elapsed_time,process_59_elapsed_time,process_60_elapsed_time,process_61_elapsed_time,process_62_elapsed_time,process_63_elapsed_time
sequential_julia,1000,0.341289788,sequential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sequential_julia,1000,0.347785266,sequential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sequential_julia,1000,0.350998642,sequential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sequential_julia,1000,0.341149474,sequential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sequential_julia,1000,0.349460714,sequential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sequential_julia,1000,0.350525461,sequential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sequential_julia,1000,0.349916086,sequential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sequential_julia,1000,0.356892079,sequential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sequential_julia,1000,0.343542413,sequential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sequential_julia,1000,0.341997221,sequential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sequential_julia,1000,0.34114298,sequential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sequential_julia,1000,0.353255108,sequential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sequential_julia,2500,2.147286211,sequential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sequential_julia,2500,2.144157625,sequential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sequential_julia,2500,2.141963737,sequential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sequential_julia,2500,2.14146681,sequential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sequential_julia,2500,2.178057077,sequential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sequential_julia,2500,2.156859786,sequential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sequential_julia,2500,2.146327212,sequential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sequential_julia,2500,2.136665712,sequential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sequential_julia,2500,2.180810545,sequential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sequential_julia,2500,2.178827303,sequential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sequential_julia,2500,2.130631546,sequential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sequential_julia,2500,2.149720507,sequential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sequential_julia,2500,2.139431474,sequential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sequential_julia,2500,2.154742314,sequential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sequential_julia,2500,2.155040611,sequential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sequential_julia,2500,2.14246012,sequential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sequential_julia,2500,2.148859984,sequential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sequential_julia,2500,2.161511088,sequential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sequential_julia,2500,2.13712312,sequential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sequential_julia,2500,2.159998934,sequential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sequential_julia,5000,8.721428497,sequential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sequential_julia,5000,8.608061114,sequential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sequential_julia,5000,8.612484667,sequential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sequential_julia,5000,8.657140483,sequential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sequential_julia,5000,8.564715468,sequential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sequential_julia,5000,8.560759894,sequential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sequential_julia,5000,8.6013124,sequential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sequential_julia,5000,8.553075027,sequential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sequential_julia,5000,8.570178593,sequential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sequential_julia,5000,8.620256754,sequential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
