executable,n_points,iter_limit,block_dim_x,block_dim_y,grid_dim_x,grid_dim_y,num_threads_per_block,num_blocks_per_grid,elapsed_time,version
heat,50,1024,,,,,,,0.01924917,sequential
heat,50,1024,,,,,,,0.016764475,sequential
heat,50,1024,,,,,,,0.008745495,sequential
heat,50,1024,,,,,,,0.009447566,sequential
heat,50,1024,,,,,,,0.009607508,sequential
heat,50,1024,,,,,,,0.008957332,sequential
heat,50,1024,,,,,,,0.014600783,sequential
heat,50,1024,,,,,,,0.009464747,sequential
heat,50,1024,,,,,,,0.008880643,sequential
heat,50,1024,,,,,,,0.009679866,sequential
heat,50,1024,,,,,,,0.019447526,sequential
heat,50,1024,,,,,,,0.009493034,sequential
heat,50,1024,,,,,,,0.019228914,sequential
heat,50,1024,,,,,,,0.009899386,sequential
heat,50,1024,,,,,,,0.020020106,sequential
heat,50,1024,,,,,,,0.015833876,sequential
heat,50,1024,,,,,,,0.012967486,sequential
heat,50,1024,,,,,,,0.018823471,sequential
heat,50,1024,,,,,,,0.010161648,sequential
heat,50,1024,,,,,,,0.009507212,sequential
heat,50,1024,,,,,,,0.015772344,sequential
heat,50,1024,,,,,,,0.008941547,sequential
heat,50,1024,,,,,,,0.008992183,sequential
heat,50,1024,,,,,,,0.008992184,sequential
heat,50,1024,,,,,,,0.008942734,sequential
heat,50,1024,,,,,,,0.01968716,sequential
heat,50,1024,,,,,,,0.008738371,sequential
heat,50,1024,,,,,,,0.015887866,sequential
heat,50,1024,,,,,,,0.024249918,sequential
heat,50,1024,,,,,,,0.008771198,sequential
heat,50,1024,,,,,,,0.009355931,sequential
heat,50,1024,,,,,,,0.009348318,sequential
heat,50,1024,,,,,,,0.020108737,sequential
heat,50,1024,,,,,,,0.008837479,sequential
heat,50,1024,,,,,,,0.022530293,sequential
heat,50,1024,,,,,,,0.008776645,sequential
heat,50,1024,,,,,,,0.008960265,sequential
heat,50,1024,,,,,,,0.020708207,sequential
heat,50,1024,,,,,,,0.016582672,sequential
heat,50,1024,,,,,,,0.018836112,sequential
heat,50,1024,,,,,,,0.021114557,sequential
heat,50,1024,,,,,,,0.019722221,sequential
heat,50,1024,,,,,,,0.008880643,sequential
heat,50,1024,,,,,,,0.022395215,sequential
heat,50,1024,,,,,,,0.008784189,sequential
heat,50,1024,,,,,,,0.009473338,sequential
heat,50,1024,,,,,,,0.014474435,sequential
heat,50,1024,,,,,,,0.01061717,sequential
heat,50,1024,,,,,,,0.009122861,sequential
heat,50,1024,,,,,,,0.020237179,sequential
heat,50,1024,,,,,,,0.023200514,sequential
heat,50,1024,,,,,,,0.009515244,sequential
heat,50,1024,,,,,,,0.009210516,sequential
heat,50,1024,,,,,,,0.0088328,sequential
heat,50,1024,,,,,,,0.017117326,sequential
heat,50,1024,,,,,,,0.02020582,sequential
heat,50,1024,,,,,,,0.021130831,sequential
heat,50,1024,,,,,,,0.021083617,sequential
heat,50,1024,,,,,,,0.008771338,sequential
heat,50,1024,,,,,,,0.022419171,sequential
heat,50,1024,,,,,,,0.021069857,sequential
heat,50,1024,,,,,,,0.022864984,sequential
heat,50,1024,,,,,,,0.00881478,sequential
heat,50,1024,,,,,,,0.009553588,sequential
heat,50,1024,,,,,,,0.011569211,sequential
heat,50,1024,,,,,,,0.021038288,sequential
heat,50,1024,,,,,,,0.009659681,sequential
heat,50,1024,,,,,,,0.009854056,sequential
heat,50,1024,,,,,,,0.022022248,sequential
heat,50,1024,,,,,,,0.009280149,sequential
heat,100,1024,,,,,,,0.059678898,sequential
heat,100,1024,,,,,,,0.037824624,sequential
heat,100,1024,,,,,,,0.047741749,sequential
heat,100,1024,,,,,,,0.049302549,sequential
heat,100,1024,,,,,,,0.038823041,sequential
heat,100,1024,,,,,,,0.043116131,sequential
